team_id,lat,lon
CHH, 35.2270869, -80.8431267
ORL, 28.5383355, -81.3792365
GSW, 37.8043637, -122.2711137
DAL, 32.7766642, -96.7969879
PHO, 33.4483771, -112.0740373 
DEN, 39.7392358, -104.990251
MIL, 43.0389025, -87.9064736
HOU, 29.7604267, -95.3698028
SEA, 47.6062095, -122.3320708
LAC, 34.0522342, -118.2436849
MIA, 25.7616798, -80.1917902
DET, 42.331427, -83.0457538
NJN, 40.7127837, -74.0059413
IND, 39.768403, -86.158068
NYK, 40.7127837, -74.0059413
CLE, 41.49932, -81.6943605
PHI, 39.9525839, -75.1652215
SAS, 29.4241219, -98.4936282
TOR, 43.6532, 79.3832
BOS, 42.3600825, -71.0588801
UTA, 40.7607793, -111.8910474
LAL, 34.0522342, -118.2436849
VAN, 49.2827, 123.1207
POR, 45.5230622, -122.6764816
WAS, 38.9071923, -77.0368707
ATL, 33.7489954, -84.3879824
CHI, 41.8781136, -87.6297982
SAC, 38.5815719, -121.4943996
MIN, 44.977753, -93.2650108
MEM, 35.1495343, -90.0489801
NOH, 29.9510658, -90.0715323
CHA, 35.2270869, -80.8431267
NOK, 29.9510658, -90.0715323
OKC, 35.4675602, -97.5164276
BRK, 40.7127837, -74.0059413
NOP, 29.9510658, -90.0715323
CHO, 35.2270869, -80.8431267 